s2	s2	s2	s2	s2	s2	s2	s2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:22 pm	0.230	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.231	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.232	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.233	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.234	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.235	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.236	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.237	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.238	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.239	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.240	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.241	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.242	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.243	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.244	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.245	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.246	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.247	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.248	0.017	0.000	-484.814	4.1667E-4	0.000	-11.574
10/18/2019 05:47:22 pm	0.249	0.017	0.000	-1454.441	4.1667E-4	0.000	-34.722
10/18/2019 05:47:22 pm	0.250	0.017	-2.909	-1939.254	4.1667E-4	-0.069	-46.296
10/18/2019 05:47:22 pm	0.251	0.017	-5.818	-969.627	4.1667E-4	-0.139	-23.148
10/18/2019 05:47:22 pm	0.252	0.000	-5.818	969.627	0.0000	-0.139	23.148
10/18/2019 05:47:22 pm	0.253	0.000	-2.909	1939.254	0.0000	-0.069	46.296
10/18/2019 05:47:22 pm	0.254	0.000	0.000	1454.441	0.0000	0.000	34.722
10/18/2019 05:47:22 pm	0.255	0.000	0.000	484.814	0.0000	0.000	11.574
10/18/2019 05:47:22 pm	0.256	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.257	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.258	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.259	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.260	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.261	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.262	0.000	0.000	0.000	0.0000	0.000	0.000
